exterior_color,interior_color,drivetrain,MPG,fuel_type,transmission,engine,VIN,stock,mileage,names,description,prices
Lunar Silver Metallic,Ebony,Front-wheel Drive,29–36,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,19UDE4H37PA024634,AA1080,11 mi.,2023 Acura Integra A-Spec,"ADAPTIVE CRUISE CONTROL, APPLE CARPLAY, BLINDSPOT DETECTION w/ REAR TRAFFIC ALERT, ANDROID AUTO, SMART BRAKE SYSTEM, Radio: Acura Premium Audio System. 2023 Acura Integra A-Spec Package CVT 1.5L I4 DOHC 16V Arlington Acura is proudly serving the communities of Palatine, Libertyv …","$32,995"
Deep Black Pearl Effect,Titan Black,All-wheel Drive,–,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,3VVFB7AX2PM085649,PM085649,20 mi.,2023 Volkswagen Tiguan 2.0T S,With each new VW purchase your first two oil changes (10k & 20k) are on Volkswagen. Only at Germain VW of Columbus you will also receive a FREE DETAIL with your 10k and 20k maintenances! In addition we offer free pick up and drop off of your vehicle (30 mile radius) complete with a FREE LOANER vehic …,"$30,338"
Thunder Gray,Charcoal,All-wheel Drive,–,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,YV4062PK8P1942753,23191,0 mi.,2023 Volvo XC90 B6 Core,"This vehicle won't be on the lot long! Both practical and stylish! Turbocharger technology provides forced air induction, enhancing performance while preserving fuel economy. It includes leather upholstery, delay-off headlights, a power seat, and the power moon roof opens up the cabin to the natural …","$63,615"
White,Sandstone,Four-wheel Drive,20–27,Hybrid,10-Speed Automatic,3.3L V6 24V PDI DOHC Hybrid,1FM5K8FW5MNA13518,U13912,"28,595 mi.",2021 Ford Explorer Limited,Power driver seat Power steering Power windows Remote keyless entry Steering wheel mounted audio controls Handling Four wheel independent suspension Traction control Safety 4-Wheel Disc Brakes ABS brakes Dual front impact airbags Dual front side impact airbags Emergency communication system: 911 Ass …,"$40,995"
Wolf Gray,Red,All-wheel Drive,–,Gasoline,8-Speed Automatic,1.6L I4 16V GDI DOHC Turbo,5XXG64J29PG216815,304243,5 mi.,2023 Kia K5 GT-Line,2023 Kia K5 GT-LineWolf Gray ExteriorRed SynTex w/Heated SeatsHeated Steering WheelNavigation SystemRear View Camera w/Parking GuidanceForward Collision Avoidance AssistBlind Spot Information SystemPanoramic Sunroof18 WheelsPremium Package1.6L TurbochargedAWD. At …,"$32,385"
White Knuckle Clearcoat,Black,All-wheel Drive,18–25,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,1C4RDJAG9NC215671,RD7442,"2,226 mi.",2022 Dodge Durango SXT,"180 Amp Alternator, 7 & 4 Pin Wiring Harness, Black Headlamp Bezels, Black Headliner, Blacktop Package, Body Color Lower Fascia, Body Color Rear Fascia, Body Color Sill Molding, Body Color Wheel Lip Molding, Bridgestone Brand Tires, Class IV Receiver Hitch, Delete Roof Rack, Dual Rear Exhaust w/Brig …","$39,499"
Black Metallic,Java,Four-wheel Drive,–,Gasoline,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,1FMJU1P86PEA32809,N32809,8 mi.,2023 Ford Expedition King Ranch,This 2023 Ford Expedition King Ranch will sell fast! 4-Wheel Drive. This Expedition has many valuable options! Leather seats. Bluetooth Connectivity. Sunroof. Panoramic Sunroof. Satellite radio. Aux. Audio Input. -Auto Climate Control -Fog Lights -Security System -Parking Sensors -Garage Door Opener …,"$84,950"
Silver,Black,Front-wheel Drive,26–36,Gasoline,6-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC,1FADP3K21EL115280,11081,"107,706 mi.",2014 Ford Focus SE,New Brakes!! Flex Fuel!!! Bletooth!!,"$8,495"
WR Blue Pearl,Black,All-wheel Drive,19–26,Gasoline,6-Speed Manual,2.4L H4 16V GDI DOHC Turbo,JF1VBAF67N9031448,N9031448,4 mi.,2022 Subaru WRX Premium,"======: Heated Seats, Alloy Wheels, Turbo Charged, All Wheel Drive, Back-Up Camera, Satellite Radio. ======WHY BUY FROM US: Here at Subaru of South Hills, we're proud to offer something for everyone. When you're interested in a brand-new Subaru, we have just the thing you're looking for. If you woul …","$32,614"
Red,Black,AWD,–,Hybrid,Automatic CVT,2.5L I4 16V PDI DOHC Hybrid,JTDAAAAF1P3004464,P3004464,10 mi.,2023 Toyota Crown Limited,"Panoramic Roof,Leather Seats,Navigation System,Lane Keeping Assist,Keyless Start,Bluetooth Connection,Cooled Front Seat(S),All Wheel Drive,50 State Emissions,Black; Leather Seat Trim,Supersonic Red","$48,171"
Summit White,Black,Four-wheel Drive,–,Gasoline,6-Speed Automatic,6.6L V8 16V GDI OHV,2GC4YME79P1731662,C3131,3 mi.,2023 Chevrolet Silverado 2500 Custom,"2023 Chevrolet Silverado 2500HD Custom 4D Crew Cab 6.6L V8 4WD 6-Speed Automatic, 4WD, Black Cloth.","$54,865"
Silicon Silver,Khaki,Four-wheel Drive,–,Gasoline,Automatic,3.0L I6 24V GDI DOHC Turbo,SALEP7EU7P2188657,P2188657,0 mi.,2023 Land Rover Defender 110 SE,"Nav System, Moonroof, Heated/Cooled Leather Seats, Premium Sound System, Panoramic Roof, 4x4, Aluminum Wheels, Back-Up Camera. SE trim. Warranty 4 yrs/50k Miles - Basic Warranty; CLICK NOW!======KEY FEATURES INCLUDE: Leather Seats, Navigation, Sunroof, Panoramic Roof, 4x4, Heated Driver Seat, Cooled …","$80,480"
Cactus Green / Gray,Black Onyx,Four-wheel Drive,–,Gasoline,10-Speed Automatic,2.3L I4 16V GDI DOHC Turbo,1FMEE5DH9PLB31999,NB31999,–,2023 Ford Bronco Black Diamond,"ABS brakes, Compass, Electronic Stability Control, Heated door mirrors, Illuminated entry, Low tire pressure warning, Remote keyless entry, Traction control. Cactus Gray 2023 Ford Bronco Black Diamond Black Diamond","$54,680"
Midnight Emerald,Linen,All-wheel Drive,–,Gasoline,Automatic,4.0L V8 32V GDI DOHC Twin Turbo,SJAHT2ZV6PC018517,23N018517,38 mi.,2023 Bentley Bentayga,"Exclusive Automotive Group located conveniently in Vienna, VA is proud authorized dealership of Aston Martin and Bentley. Representing the penultimate of automobiles requires that our staff and operations be held to the same tremendously high standards. At every encounter with our clients we endeavor to deliver the high touch experience that you deserve.","$301,730"
Arctic Race Blue Metallic,Ivory White,Rear-wheel Drive,–,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,WBA53BJ05PWY01146,PWY01146,"1,102 mi.",2023 BMW 540 i,"Dealer DEMO - PLEASE INQUIRE AS TO MARKET VALUE! Arctic Race Blue Metallic 2023 BMW 5 Series 540i RWD 8-Speed Automatic Sport 3.0L I6 Turbocharged DOHC 24V LEV3-ULEV70 Ivory White Leather. Connected Package Pro, Premium Package (harman/kardon Surround Sound System, Head-Up Display, Heated Front Seat …","$68,020"
Jet Black,Black,All-wheel Drive,–,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,WBA73BJ02PWY07852,PWY07852,17 mi.,2023 BMW 540 i xDrive,"Jet Black 2023 BMW 5 Series 540i xDrive AWD 8-Speed Automatic Sport 3.0L I6 Turbocharged DOHC 24V LEV3-ULEV70 AWD, Black Artificial Leather. 22/29 City/Highway MPG","$67,730"
Glacier White,Hotspur,All-wheel Drive,–,Gasoline,Automatic,4.0L V8 32V GDI DOHC Twin Turbo,SCBCG2ZG7PC006832,NVA230339,41 mi.,2023 Bentley Continental GT S,Glacier White 2023 Bentley Continental GT V8 S AWD 8-Speed 4.0L V8 Hotspur.,"$300,340"
Crystal White Tri-Coat,Maple Sugar,All-wheel Drive,–,Gasoline,10-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,1G6DS5RW4P0114967,230075,"3,358 mi.",2023 Cadillac CT5 Premium Luxury AWD,"Factory MSRP: $59,090 Crystal White Tricoat 2023 Cadillac CT5 Premium Luxury 4D Sedan Premium Luxury CT5 2023 Cadillac 3.0L V6 10-Speed Automatic AWD Climate Package (Driver 4-Way Power Lumbar Seat Adjuster, Front Passenger 4-Way Power Lumbar Seat Adjuster, Heated Driver & Front Passenger Seats, Hea …","$59,090"
Crystal White Tri-Coat,Jet Black,All-wheel Drive,–,Gasoline,9-Speed Automatic,3.6L V6 24V GDI DOHC,1GYKPDRS5PZ191253,230314,7 mi.,2023 Cadillac XT6 Premium Luxury AWD,"Factory MSRP: $60,215 Crystal White Tricoat 2023 Cadillac XT6 Premium Luxury 4D Sport Utility Premium Luxury XT6 2023 Cadillac 3.6L V6 DI VVT 9-Speed Automatic AWD Premium Luxury Package 1SD (Automatic Emergency Braking, Dual Driver Info Center Display Gauge Cluster, Front & Rear Park Assist, Inside …","$60,215"
Glacier White,Camel,All-wheel Drive,–,Gasoline,8-Speed,4.0L V8 32V GDI DOHC Twin Turbo,SCBDG4ZG7PC007026,23B3538,31 mi.,2023 Bentley Continental GT,"Bentley Beverly Hills is proud to present this 2023 Bentley GTC V8 Convertible in Glacier White and Camel. Bentley Beverly Hills is part of O'Gara Coach Company, the leading Factory Authorized Dealer for Aston Martin, Automobili Pininfarina, Bentley, Bugatti, Koenigsegg, Lamborghini, McLaren, Rimac …","$277,025"
Alpine White,Cognac,All-wheel Drive,–,Gasoline,Automatic,3.0L I6 24V GDI DOHC Turbo,5UX83DP09P9S11435,P9S11435,13 mi.,2023 BMW X3 M40i,"Premium Package,Harman/Kardon Surround Sound System,Parking Assistance Package,Panoramic Roof,Wheels: 20 X 8.0 Fr & 20 X 9.5 Rr M Dbl Spoke,Heated Front Seats,Wireless Charging,Navigation System,Space-Saver Spare,Heated Steering Wheel,Keyless Start,Bluetooth Connection,Rear Spoiler,Heads-Up Display, …","$66,280"
Dark Sapphire,Linen,All-wheel Drive,–,Gasoline,8-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo,SJAHT2ZV1PC018960,23B6189,20 mi.,2023 Bentley Bentayga,"Bentley Beverly Hills is proud to present this 2023 Bentley Bentayga EWB in Dark Sapphire and Linen. Bentley Beverly Hills is part of O'Gara Coach Company, the leading Factory Authorized Dealer for Aston Martin, Automobili Pininfarina, Bentley, Bugatti, Koenigsegg, Lamborghini, McLaren, Rimac and Ro …","$241,390"
WR Blue Pearl,Black,All-wheel Drive,19–26,Gasoline,6-Speed Manual,2.4L H4 16V GDI DOHC Turbo,JF1VBAF67N9031448,N9031448,4 mi.,2022 Subaru WRX Premium,"======: Heated Seats, Alloy Wheels, Turbo Charged, All Wheel Drive, Back-Up Camera, Satellite Radio. ======WHY BUY FROM US: Here at Subaru of South Hills, we're proud to offer something for everyone. When you're interested in a brand-new Subaru, we have just the thing you're looking for. If you woul …","$32,614"
Alpine Gray,Black,All-wheel Drive,–,Gasoline,Automatic,4.0L V8 32V GDI DOHC Twin Turbo,W1KVK8BB0NF007571,NF007571,11 mi.,2022 Mercedes-Benz AMG SL 63 Base,"Wheels: 21 Amg Forged Cross-Spoke Black,Amg Carbon Fiber Trim,Driver Assistance Package,Performance Trim Line,Manufaktur Alpine Grey,Amg Night Package Ii,Leather Seats,Navigation System,Energizing Air Control,Wheel Locking Bolts,Lane Keeping Assist,Keyless Start,Bluetooth Connection,Rear Spoiler,Hea …","$194,335"
Gray Sky Pearl,Sport,Front-wheel Drive,–,Gasoline,Automatic CVT,2.5L I4 16V GDI DOHC,1N4BL4CV3PN345038,A0552,–,2023 Nissan Altima 2.5 SR,White's Auto Mall Nissan is pumped up to offer this 2023 Nissan Altima 2.5 SR in Gray Sky Pearl with Sport. This Altima is very well equipped with . 2023 Nissan Altima 2.5 SR Gray Sky Pearl 2.5L 4-Cylinder DOHC 16V FWD CVT with Xtronic 27/37 City/Highway MPG,"$29,340"
Alpine White,Cognac,All-wheel Drive,21–28,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WBX57DP03NN144394,40768B,0 mi.,2022 BMW X3 xDrive30i,"This BMW X3 has a powerful Intercooled Turbo Premium Unleaded I-4 2.0 L/122 engine powering this Automatic transmission. WHEELS: 19 X 7.5 Y-SPOKE (STYLE 693) -inc: Ferric grey (STD), REMOTE ENGINE START, PANORAMIC MOONROOF (ZPA).Packages That Make Driving the BMW X3 xDrive30i An ExperienceHEATED F …","$49,820"
Red,Black,AWD,–,Hybrid,Automatic CVT,2.5L I4 16V PDI DOHC Hybrid,JTDAAAAF1P3004464,P3004464,10 mi.,2023 Toyota Crown Limited,"Panoramic Roof,Leather Seats,Navigation System,Lane Keeping Assist,Keyless Start,Bluetooth Connection,Cooled Front Seat(S),All Wheel Drive,50 State Emissions,Black; Leather Seat Trim,Supersonic Red","$48,171"
Mineral Blue,Charcoal,Front-wheel Drive,,Electric,Automatic,Electric,KNDCR3L1XP5028183,K230467,9 mi.,2023 Kia Niro EV Wind,"Factory MSRP: $42,700 Mineral Blue 2023 Kia Niro EV Wind 4D Sport Utility Wind Niro EV 2023 Kia 201HP Electric Motor 1-Speed Automatic FWD Wind Preserve Package (Heat Pump, Heated Rear Seats, and Heated Steering Wheel), 10.65 Axle Ratio, 2-Level Luggage Board, 4-Wheel Disc Brakes, 6 Speakers, 7J x 1 …","$41,024"
Gray,Linen,All-wheel Drive,–,Gasoline,8-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo,SJAHT2ZV3PC018975,23B6187,57 mi.,2023 Bentley Bentayga Azure,"Bentley Beverly Hills is proud to present this 2023 Bentley Bentayga EWB Azure in Grey Violet and Linen. Bentley Beverly Hills is part of O'Gara Coach Company, the leading Factory Authorized Dealer for Aston Martin, Automobili Pininfarina, Bentley, Bugatti, Koenigsegg, Lamborghini, McLaren, Rimac an …","$307,230"
Vik Black,Dark Green,All-wheel Drive,,Electric,1-Speed Automatic,Electric,KMTGE4S17PU003687,G23109,10 mi.,2023 Genesis Electrified G80 Electric,Vik Black 2023 Genesis Electrified G80 AWD 1-Speed Automatic Electric Motor Fresh Oil Change. 105/89 City/Highway MPG,"$81,625"
Glacier White Metallic,Black,All-wheel Drive,18–23,Gasoline,8-Speed Automatic,3.0L V6 24V GDI DOHC Turbo,WA1VXAF7XMD018610,D5193,"40,511 mi.",2021 Audi Q7 55 Prestige,CARFAX One-Owner. Clean CARFAX. Glacier White Metallic 2021 Audi Q7 55 Prestige quattro quattro 8-Speed Automatic with Tiptronic 3.0L TFSI V6 DOHC CLEAN CARFAX Audi of Stratham has the Luxury vehicle you've been searching for at a price that fits your budget As an employee owned company our …,"$54,987"
Alpine Gray,Black,All-wheel Drive,–,Gasoline,Automatic,4.0L V8 32V GDI DOHC Twin Turbo,W1KVK8BB0NF007571,NF007571,11 mi.,2022 Mercedes-Benz AMG SL 63 Base,"Wheels: 21 Amg Forged Cross-Spoke Black,Amg Carbon Fiber Trim,Driver Assistance Package,Performance Trim Line,Manufaktur Alpine Grey,Amg Night Package Ii,Leather Seats,Navigation System,Energizing Air Control,Wheel Locking Bolts,Lane Keeping Assist,Keyless Start,Bluetooth Connection,Rear Spoiler,Hea …","$194,335"
Star White,Sandstone,Rear-wheel Drive,–,Gasoline,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,1FMJK1K86PEA38218,EA38218,4 mi.,2023 Ford Expedition Max Limited,Recent Arrival! LIFETIME WARRANTY INCLUDED!!! Star White Metallic Tri-Coat 2023 Ford Expedition Max Limited RWD 10-Speed Automatic EcoBoost 3.5L V6 GTDi DOHC 24V Twin Turbocharged,"$74,831"
Dark Ash Metallic,Black,Four-wheel Drive,–,Gasoline,10-Speed Automatic,5.3L V8 16V GDI OHV,2GCUDEED5P1105646,23057,7 mi.,2023 Chevrolet Silverado 1500 RST,"Dark Ash Metallic 2023 Chevrolet Silverado 1500 RST 4WD 10-Speed Automatic EcoTec3 5.3L V8 10-Speed Automatic, 4WD, Black Cloth. 2023 Chevrolet Silverado 1500 RST 4D Crew Cab Mercer County's longest lasting and most dependable dealership for over 65 years. Same family, same town, same friendly car b …","$58,645"
Black Raven,Black,Four-wheel Drive,14–21,Gasoline,10-Speed Automatic,6.2L V8 16V GDI OHV,1GYS4CKJ0KR144886,J223A,"86,248 mi.",2019 Cadillac Escalade Premium Luxury,"Home of the No-Hassle Deal Every Vehicle is Priced Up Front based on the KBB.com Price Advisor from Kelly Blue Book. Get an Instant Quote for your trade-in Experience The Castle Difference... Free Vehicle Delivery (Up to 50 miles), 72-Hour Love it or Exchange it Policy and much more... Fast …","$42,977"
Black Diamond,Black Saddle / Tan,Four-wheel Drive,–,Gasoline,Automatic CVT,2.5L I4 16V GDI DOHC,JA4J4VA83PZ023847,24T332,5 mi.,2023 Mitsubishi Outlander SEL 40th Anniversary,"Black Diamond 2023 Mitsubishi Outlander SEL 40th Anniversary 4WD CVT 2.5L 4-Cylinder DOHC 4WD. 24/30 City/Highway MPG ALL NEW VEHICLES INCLUDE A 10yr 100,000 MILE POWERTRAIN WARRANTY; See dealer for complete details. Also included with every new vehicle we sell: LIFETIME NO FEAR WARRANTY, FIRST OIL …","$38,812"
Red,Black,All-wheel Drive,16–22,Gasoline,7-Speed Automatic,5.5L V8 32V GDI DOHC Twin Turbo,WDDLJ7GB8GA159286,HAP3695A,"27,514 mi.",2016 Mercedes-Benz AMG CLS AMG CLS 63 S-Model 4MATIC,"2016 Mercedes-Benz CLS CLS 63 S AMG® designo Cardinal Red Metallic Active Multicontour Driver Seat, Blind Spot Assist, Carbon Fiber Mirror Covers, Electronic Trunk Closer, Exterior Carbon Fiber Package, Exterior Parking Camera Rear, Heated & Active Ventilated Front Seats, KEYLESS GO®, Lane K …","$51,736"
Wolf Gray,Black,All-wheel Drive,25–33,Gasoline,8-Speed Automatic,"Gamma-II 1.6L I-4 gasoline direct injection, DOHC, CVVD variable",5XXG64J28PG215381,K231198,14 mi.,2023 Kia K5 GT-Line,Are You Looking for A Simple Easy Fun Car Buying Experience? Kia of Everett Is the Place to Come! With One of The Best Selections of New Kia's Available in The Pacific Northwest You Will Be Glad You Checked Us Out. This Particular K5 Has Been Pre-Sold Awaiting Its Arrival Here Soon. Congratula …,"$35,184"
Bright White Clearcoat,Black,Four-wheel Drive,–,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,1C6HJTAG7PL501870,0-3031,14 mi.,2023 Jeep Gladiator Sport,"$3,409 off MSRP! Dealer Discount of $409 off MSRP Bright White Clearcoat 2023 Jeep Gladiator Sport 4WD 8-Speed Automatic 3.6L V6 24V VVT 115V Auxiliary Power Outlet, 1-Year SiriusXM Guardian Trial, 220 Amp Alternator, 240 Amp Alternator, 3.73 Rear Axle Ratio, 400W Inverter, 4-Wheel Disc Brakes, 5-Ye …","$47,331"
Polymetal Gray Metallic,Black,All-wheel Drive,–,Gasoline,6-Speed Automatic,2.5L I4 16V GDI DOHC,JM3KFBCM0P0253516,MWP0253516,5 mi.,2023 Mazda CX-5 2.5 S Carbon Edition,"McDonald Mazda West in Lakewood, Colorado treats the needs of each individual customer with paramount concern. We know that you have high expectations, and as a car dealer we enjoy the challenge of meeting and exceeding those standards each and every time. Allow us to demonstrate our commitment to excellence!","$33,314"
Vapor Blue Metallic,–,All-wheel Drive,–,Hybrid,Automatic CVT,2.5L I4 16V MPFI DOHC Hybrid,1FMCU9NZ5PUA39808,9500U9N,0 mi.,2023 Ford Escape ST-Line Select,"2.5L iVCT, eCVT, AWD, 2.91 Axle Ratio, 4-Wheel Disc Brakes, 6 Speakers, ABS brakes, Air Conditioning, Alloy wheels, AM/FM radio: SiriusXM, AM/FM Stereo, Auto High-beam Headlights, Automatic temperature control, Brake assist, Bumpers: body-color, Compass, Delay-off headlights, Driver door bin, Driver …","$38,725"
Gray,Linen,All-wheel Drive,–,Gasoline,8-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo,SJAHT2ZV3PC018975,23B6187,57 mi.,2023 Bentley Bentayga Azure,"Bentley Beverly Hills is proud to present this 2023 Bentley Bentayga EWB Azure in Grey Violet and Linen. Bentley Beverly Hills is part of O'Gara Coach Company, the leading Factory Authorized Dealer for Aston Martin, Automobili Pininfarina, Bentley, Bugatti, Koenigsegg, Lamborghini, McLaren, Rimac an …","$307,230"
Orange,Jet Black,Rear-wheel Drive,–,Gasoline,8-Speed,6.2L V8 16V GDI OHV,1G1YC2D47P5129488,C230064,6 mi.,2023 Chevrolet Corvette Stingray w/3LT,"ABS brakes, Alloy wheels, Compass, Custom Leather Wrapped Interior Package, Electronic Stability Control, Front dual zone A/C, Heated door mirrors, Heated front seats, Illuminated entry, Low tire pressure warning, Navigation System, Power-Adjustable Outside Heated Mirrors, Remote keyless entry, Tech …","$88,530"
Dynamic Blue Metallic,Jet Black,Four-wheel Drive,–,Gasoline,Automatic,2.7L I4 16V GDI DOHC Turbo,1GTP6DEK5P1139432,236679,0 mi.,2023 GMC Canyon AT4,2023 GMC Canyon AT4 4WD.,"$51,650"
Sterling Gray Metallic,Jet Black,Rear-wheel Drive,–,Gasoline,Automatic,2.7L I4 16V GDI DOHC Turbo,1GCGSBEC6P1123734,P1123734,0 mi.,2023 Chevrolet Colorado WT,"You won't want to miss this excellent Chevrolet Colorado W/T Convenience! Packed with features and truly a pleasure to drive! Turbocharger technology provides forced air induction, enhancing performance while preserving fuel economy. All of the following features are included: variably intermittent …","$29,110"
Calypso Red,Gray,All-wheel Drive,–,Hybrid,6-Speed Automatic with SHIFTRONIC,1.6L I4 16V GDI DOHC Turbo Hybrid,5NMS2DA1XPH008327,23H0479,24 mi.,2023 Hyundai Santa Fe HEV Blue,,"$38,790"
Pure White,Beige,All-wheel Drive,–,Gasoline,8-Speed Automatic,3.6L V6 24V GDI DOHC,1V2HR2CA8PC530927,CV3921,5 mi.,2023 Volkswagen Atlas 3.6L SE w/Technology,"Adaptive Cruise Control, Apple Carplay/Android Auto, Automatic Emegency Braking, Backup Camera, Blind Spot Monitor, Bluetooth, Brake Assist, Heated Seats, Homelink, Keyless Start, Leather Seats, LED Headlights, Rear Cross Traffic Alert, Remote Start, Stability Control, USB Port. 2023 Volkswagen Atla …","$46,445"
Iconic Silver Metallic,Black Onyx,Four-wheel Drive,–,Gasoline,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,1FMJK2A81PEA26453,PEA26453,5 mi.,2023 Ford Expedition Max Limited,"You won't want to miss this excellent value! It comes equipped with all the standard amenities for your driving enjoyment. Turbocharger technology provides forced air induction, enhancing performance while preserving fuel economy. Comfort and convenience were prioritized within, evidenced by ameniti …","$85,160"
